collocate,count
index,1
term,4
spouse,1
nurture,1
child,24
mental,1
flourishing,1
recognition,1
significant,3
association,1
psychoactive,2
substance,10
resilience,12
type,1
frequency,1
neglect,4
report,4
family,6
foster,1
care,1
active,1
drug,4
86,1
alcohol,4
83,1
show,1
need,1
40,2
education,1
design,1
student,1
risk,1
pregnancy,1
enrich,1
personal,3
growth,5
give,1
physical,4
perpetrator,1
typology,1
adequately,1
validate,1
underscore,1
motivate,2
seek,1
help,1
reduce,2
potential,6
feeling,1
process,1
allow,1
understanding,4
resolution,1
crime,1
girl,2
finding,1
consider,2
specific,1
sexual,22
recognize,1
highlight,4
progress,1
regard,1
redirect,1
factor,3
rehabilitation,1
plea,1
fabricated,1
allegation,2
awareness,1
careful,1
reporting,1
occur,1
pilot,1
study,2
sensitively,1
verify,1
refute,1
young,2
woman,6
history,4
demonstrate,1
remarkable,2
score,6
significantly,2
high,3
subscale,1
overall,1
tsc-40,1
examine,1
relation,1
constructive,1
aspect,2
2,1
psychopathy,1
impact,2
see,1
effect,2
overcome,5
current,1
trend,1
bring,1
civil,1
lawsuit,2
criminal,1
prosecution,1
childhood,6
number,4
understand,2
intrusiveness,6
abuse,8
force,5
abuser,2
behavior,5
secondary,1
lead,3
posttraumatic,1
stress,1
limited,1
sign,1
e.g.,1
challenge,2
parental,1
marital,4
presentation,1
erotomania,1
allege,1
possible,1
recovery,3
develop,5
national,2
institute,1
alcoholism,1
niaaa,1
indian,1
health,2
service,1
promotion,1
disease,2
prevention,3
communication,1
lack,1
exercise,1
sexually,1
transmit,1
learn,1
caliber,1
evaluation,1
research,2
advance,1
passive,1
resist,1
insightful,1
perception,1
realistic,1
victim,2
personality,1
measure,2
proclivity,1
scale,2
sap,1
indicate,1
general,1
succeed,2
public,1
attention,1
adult,2
severely,1
punitive,1
mother,3
protect,1
psychological,3
maltreatment,1
distinction,1
form,2
brassard,1
germain,1
hart,1
1987,1
mechanism,1
nonrepressor,1
believe,1
story,1
addition,1
challenging,1
consequence,1
describe,1
literature,1
appear,3
build,1
follow,2
healing,1
female,1
survive,1
severe,1
guardian,1
nonabusive,1
expectation,1
thrive,1
interpersonal,1
compare,1
abusive,1
courageous,1
stand,1
refuse,1
ignore,1
school,1
teacher,1
provoke,1
prevalent,1
devastating,1
united,1
states,2
review,2
popular,2
program,1
currently,1
market,1
purportedly,1
frequently,1
address,2
opportunity,2
onset,1
long,2
strength,1
avoid,1
teenage,1
especially,1
perform,1
dissociative,1
experiences,1
population,1
questionnaire,1
tpq,1
bulimic,1
exhibit,1
noteworthy,1
trait,1
effective,1
adolescent,1
case,1
agt,1
fde,1
register,1
twice,1
improvement,1
associate,4
brave,1
disclosure,1
problem,1
use,1
pose,1
learning,1
american,1
critically,1
evaluate,1
regression,1
analysis,1
conduct,2
assess,2
origin,3
g1,2
positive,1
change,1
second,2
generation,3
g2,1
peaceful,2
g3,1
aggression,1
social,1
adaptation,1
intriguing,2
insight,1
subsequent,1
negative,1
adjustment,1
reveal,1
informed,1
preventative,1
strongly,1
recommend,1
sibling,1
closely,1
expose,1
khantzian,1
1985,1
propose,1
model,1
assert,1
dependent,1
individual,1
select,1
